,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
47,0.616,0.799,4,-11.853,1,0.0273,0.0123,0.00611,0.031,0.965,141.973,audio_features,3WOFIGsCzse0Wa3kd1UGG8,spotify:track:3WOFIGsCzse0Wa3kd1UGG8,https://api.spotify.com/v1/tracks/3WOFIGsCzse0Wa3kd1UGG8,https://api.spotify.com/v1/audio-analysis/3WOFIGsCzse0Wa3kd1UGG8,322867,4,Indochine,Canary Bay,3,3WOFIGsCzse0Wa3kd1UGG8,French
48,0.648,0.519,6,-9.433,0,0.0351,0.512,0,0.124,0.602,121.647,audio_features,7323BlXkhKKzIebErsa4bo,spotify:track:7323BlXkhKKzIebErsa4bo,https://api.spotify.com/v1/tracks/7323BlXkhKKzIebErsa4bo,https://api.spotify.com/v1/audio-analysis/7323BlXkhKKzIebErsa4bo,233600,4,Michel Sardou,En chantant,L'album de sa vie 100 titres,7323BlXkhKKzIebErsa4bo,French
49,0.732,0.898,9,-6.148,0,0.059,0.298,0.0046,0.128,0.966,146.334,audio_features,2APNdAPP3OviTgALD7awNb,spotify:track:2APNdAPP3OviTgALD7awNb,https://api.spotify.com/v1/tracks/2APNdAPP3OviTgALD7awNb,https://api.spotify.com/v1/audio-analysis/2APNdAPP3OviTgALD7awNb,238547,4,Patrick Bruel,Comment Ca Va Pour Vous ? - Remix,De face,2APNdAPP3OviTgALD7awNb,French
50,0.44,0.845,11,-6.726,0,0.051,0.0114,0,0.252,0.342,116.07,audio_features,05OmZz1tixVBtXMx3cb4oc,spotify:track:05OmZz1tixVBtXMx3cb4oc,https://api.spotify.com/v1/tracks/05OmZz1tixVBtXMx3cb4oc,https://api.spotify.com/v1/audio-analysis/05OmZz1tixVBtXMx3cb4oc,237827,4,Gold,Plus près des étoiles,Le Train De Mes Souvenirs,05OmZz1tixVBtXMx3cb4oc,French
51,0.776,0.623,9,-9.91,0,0.0744,0.133,0.00000493,0.0473,0.779,126.425,audio_features,4PAz1hb8cyKKgHHIGVgoTr,spotify:track:4PAz1hb8cyKKgHHIGVgoTr,https://api.spotify.com/v1/tracks/4PAz1hb8cyKKgHHIGVgoTr,https://api.spotify.com/v1/audio-analysis/4PAz1hb8cyKKgHHIGVgoTr,261107,4,Pat Benesta,Magnolias for Ever,"Hommage à Claude François, Vol. 1",4PAz1hb8cyKKgHHIGVgoTr,French
52,0.711,0.804,9,-7.41,0,0.0698,0.145,0,0.3,0.85,113.539,audio_features,5TpIQ1tVlPnm4SHObswUU6,spotify:track:5TpIQ1tVlPnm4SHObswUU6,https://api.spotify.com/v1/tracks/5TpIQ1tVlPnm4SHObswUU6,https://api.spotify.com/v1/audio-analysis/5TpIQ1tVlPnm4SHObswUU6,249280,4,Chagrin D'amour,Chacun fait (c'qui lui plait),Chacun fait (C'qui lui plait),5TpIQ1tVlPnm4SHObswUU6,French
53,0.757,0.769,7,-11.726,1,0.0518,0.231,0.0000269,0.0619,0.917,116.474,audio_features,6qVHavRuhCeoNq66osK4cL,spotify:track:6qVHavRuhCeoNq66osK4cL,https://api.spotify.com/v1/tracks/6qVHavRuhCeoNq66osK4cL,https://api.spotify.com/v1/audio-analysis/6qVHavRuhCeoNq66osK4cL,253333,4,A Caus' Des Garçons,A caus' des garçons - Radio Version,A caus' des garçons,6qVHavRuhCeoNq66osK4cL,French
54,0.597,0.921,0,-5.455,1,0.0735,0.181,0,0.408,0.666,122.63,audio_features,0XctFbntBgWkpoqCuOynPE,spotify:track:0XctFbntBgWkpoqCuOynPE,https://api.spotify.com/v1/tracks/0XctFbntBgWkpoqCuOynPE,https://api.spotify.com/v1/audio-analysis/0XctFbntBgWkpoqCuOynPE,281720,4,Michel Sardou,Chanteur de jazz,L'album de sa vie 100 titres,0XctFbntBgWkpoqCuOynPE,French
55,0.367,0.525,2,-9.745,0,0.0357,0.107,0,0.0912,0.506,97.009,audio_features,3tJljA8IkRARbsFojNbwRl,spotify:track:3tJljA8IkRARbsFojNbwRl,https://api.spotify.com/v1/tracks/3tJljA8IkRARbsFojNbwRl,https://api.spotify.com/v1/audio-analysis/3tJljA8IkRARbsFojNbwRl,220040,3,Patrick Bruel,À la santé des gens que j'aime,À la santé des gens que j'aime,3tJljA8IkRARbsFojNbwRl,French
56,0.453,0.796,11,-4.804,0,0.129,0.109,0.00000625,0.109,0.571,121.121,audio_features,6xk0Ndi8T5KGLZQhS8DZ4K,spotify:track:6xk0Ndi8T5KGLZQhS8DZ4K,https://api.spotify.com/v1/tracks/6xk0Ndi8T5KGLZQhS8DZ4K,https://api.spotify.com/v1/audio-analysis/6xk0Ndi8T5KGLZQhS8DZ4K,233187,4,Johnny Hallyday,L'envie,Gang (Super deluxe édition),6xk0Ndi8T5KGLZQhS8DZ4K,French
